Id,Year,SECTION_ID,Baujahr,GEOPOINT_ID,Haltungslaenge,Mittlere_Tiefe,Kanalart,Wasserschutzzone,Lage_im_Verkehrsraum,Grundwasserstand,Materialart,Materialgruppe,Cluster_Name,Profilart,Profilbreite,Profilhoehe,Erneuerung,SUBS_CLASS,PRIO_CLASS,SUBSTANZ,Prioritaet,ENTSCHEIDUNG_KUBUS_C,ENTSCHEIDUNG_STRATEGIE,Ausgabe,RAD,RBW_AHK,Lat1,Lat2,Long1,Long2
345651,2016,14382,1982,83345,52.664,5.01,K,KW,B4,1,B,Beton,Beton,DN,500,500,90482.02,1.12677740234,1.88,87.46,36.8,0,1,0.0,33,0.0,50.5359311409,50.5363463343,9.71942146725,9.71909433442
345676,2016,14383,1980,83347,49.359,3.55,K,KW,W,1,SB,Stahlbeton,Stahlbeton,DN,800,800,102343.42,1.19361239458,1.25,86.13,24.43,1,1,0.0,31,0.0,50.5349963424,50.5351034675,9.70589430155,9.70523295846
345701,2016,14384,1980,83349,35.279,3.62,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,34769.22,3.61509762405,4.29,31.55,85.41,3,1,0.0,31,0.0,50.5363601345,50.5365549706,9.70578377437,9.70540907804
345726,2016,14385,1980,83351,31.883,3.56,K,KW,B5,2,SPB,Stahlbeton,Beton,DN,300,300,31422.29,4.10339184551,4.72,17.93,93.68,4,1,0.0,31,0.0,50.5367470086,50.5365608175,9.70573214271,9.70540888302
345751,2016,14386,1980,83353,51.856,3.28,K,KW,W,1,SB,Stahlbeton,Stahlbeton,DN,800,800,107520.82,1.19361239458,1.25,86.13,24.43,1,1,0.0,31,0.0,50.5348856848,50.5349941012,9.70660510364,9.70590795559
345776,2016,14387,1976,83355,29.364,3.38,K,KW,B5,2,SB,Stahlbeton,Stahlbeton,DN,800,800,60884.79,3.30869315151,4.28,40.74,85.26,3,1,0.0,27,0.0,50.5350015773,50.5347965272,9.70747529957,9.70723723191
345801,2016,14388,1968,83357,47.909,1.44,K,KW,B5,1,B,Beton,Beton,DN,400,400,38621.84,3.75423860908,5.01,27.37,99.54,3,1,0.0,19,0.0,50.535093057,50.5354203164,9.70959188417,9.70917405819
345826,2016,14389,1968,83359,18.942,4.32,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,400,400,23068.51,2.30186859991,4.14,63.96,82.56,2,2,0.0,19,0.0,50.5348574781,50.5347487502,9.71245760773,9.71227063939
345851,2016,14390,1968,83361,13.97,5.0,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,400,400,17013.36,3.20412293642,2.37,43.88,47.11,3,1,0.0,19,0.0,50.5348538394,50.5348614505,9.71265249334,9.71246980284
345876,2016,14391,1980,83363,56.77,3.74,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,55949.67,3.33932933172,4.82,39.82,95.77,3,1,0.0,31,0.0,50.5351639732,50.5353397054,9.70683212816,9.70609507397
345901,2016,14392,1980,83365,42.394,3.33,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,41781.41,2.664683672,5.06,56.71,100.0,2,2,0.0,31,0.0,50.535344754,50.5354508154,9.7060930327,9.70553322587
345926,2016,14393,1980,83367,11.332,3.38,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,11168.25,1.48922352305,1.58,80.22,31.07,1,1,0.0,31,0.0,50.535418192,50.5353447549,9.70618229422,9.70609289161
345951,2016,14394,1976,83369,24.364,3.48,K,KW,B5,2,SB,Stahlbeton,Stahlbeton,DN,800,800,50517.54,2.56099742201,4.28,58.78,85.26,2,2,0.0,27,0.0,50.5351772452,50.5350088108,9.70768089799,9.70748371904
345976,2016,14395,1980,83371,39.083,3.78,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,38518.25,3.25073780455,4.29,42.48,85.41,3,1,0.0,31,0.0,50.5361284057,50.5363601354,9.70617936577,9.70578363327
346001,2016,14396,1980,83373,41.558,3.34,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,40957.49,3.7707331974,5.06,26.88,100.0,4,1,0.0,31,0.0,50.5357677251,50.5354259754,9.70638879302,9.70618902847
346026,2016,14397,1980,83375,18.978,3.52,K,KW,B5,1,SPB,Stahlbeton,Beton,DN,300,300,18703.77,2.97944125942,4.38,50.41,87.08,3,1,0.0,31,0.0,50.5359378931,50.5357764325,9.70640431674,9.70639146306
346051,2016,14398,1976,83377,62.039,3.3,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,700,700,114080.42,4.09312432517,5.06,18.14,100.0,4,1,0.0,27,0.0,50.5356476964,50.535184661,9.70815130043,9.70768891103
346076,2016,14399,1968,83379,45.032,1.35,K,KW,B5,1,B,Beton,Beton,DN,400,400,36302.55,4.28497314027,5.01,14.3,99.54,4,1,0.0,19,0.0,50.5354273847,50.5357409185,9.70916527427,9.70878590099
346101,2016,14400,1968,83381,27.667,1.34,K,KW,B5,1,B,Beton,Beton,DN,400,400,22303.75,4.19828788692,5.06,16.03,100.0,4,1,0.0,19,0.0,50.5357476306,50.5359170313,9.70877654717,9.70851022708
346126,2016,14401,1968,83383,5.797,2.78,K,KW,B5,2,STZ,Steinzeug,Steinzeug,DN,300,300,4679.92,2.9802864234,5.06,50.39,100.0,2,2,0.0,19,0.0,50.5359194512,50.5359121767,9.70849828301,9.7084315979
346151,2016,14402,1976,83385,34.523,3.62,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,700,700,63482.62,3.31316606153,4.71,40.61,93.42,3,1,0.0,27,0.0,50.5359058512,50.5356552038,9.7084217665,9.70815903278
346176,2016,14403,1968,83387,111.045,1.44,K,KW,B5,1,B,Beton,Beton,DN,400,400,89518.93,4.26030015445,5.06,14.79,100.0,4,1,0.0,19,0.0,50.5359357222,50.5365824738,9.70848022465,9.70730500167
346201,2016,14404,1968,83389,115.141,1.78,K,KW,B5,1,B,Beton,Beton,DN,400,400,92820.92,4.28629276031,5.06,14.27,100.0,4,1,0.0,19,0.0,50.5365889176,50.5374043041,9.70729537535,9.70631677029
346226,2016,14405,1968,83391,65.564,1.92,K,KW,B5,1,B,Beton,Beton,DN,400,400,52854.42,4.29249216327,5.06,14.15,100.0,4,1,0.0,19,0.0,50.5379173379,50.5383370231,9.70581408304,9.70518443995
346251,2016,14406,1968,83393,66.272,1.88,K,KW,B5,1,B,Beton,Beton,DN,400,400,53425.17,4.26030015445,5.06,14.79,100.0,4,1,0.0,19,0.0,50.5374116287,50.5379102797,9.70630869498,9.70582272695
346276,2016,14407,1994,83395,22.851,3.69,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,700,700,42019.56,1.37796089719,2.43,82.44,48.31,1,1,0.0,45,0.0,50.5364710755,50.5363020909,9.70895943318,9.70881755193
346301,2016,14408,1976,83397,37.324,3.88,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,700,700,68633.24,2.01953382901,5.06,69.61,100.0,1,1,0.0,27,0.0,50.5367569022,50.5364788747,9.70923558692,9.70896650694
346326,2016,14409,1994,83399,41.905,3.44,K,KW,B5,1,STZ,Steinzeug,Steinzeug,DN,400,400,47419.7,0.282173957076,0.47,98.82,3.05,0,1,0.0,45,0.0,50.536660037,50.5363404265,9.70911267824,9.70882691775
346351,2016,14410,1970,83401,53.12,2.19,K,KW,B5,1,B,Beton,Beton,DN,500,500,69823.58,3.77277914341,4.66,26.82,92.63,3,1,0.0,21,0.0,50.5367920873,50.5371454107,9.70928086166,9.70879762166
346376,2016,14411,1970,83403,50.403,1.76,K,KW,B2,1,B,Beton,Beton,DN,500,500,55702.88,3.35263345095,4.59,39.42,91.18,2,2,0.0,21,0.0,50.5371522119,50.5374893115,9.70878839591,9.70833434233
346401,2016,14412,1970,83405,44.174,2.61,K,KW,B2,1,B,Beton,Beton,DN,600,600,65582.93,3.21849552391,4.29,43.45,85.4,3,1,0.0,21,0.0,50.5363916854,50.5366078321,9.71008505363,9.70957893726
346426,2016,14413,1970,83407,23.455,2.47,K,KW,B2,1,B,Beton,Beton,DN,600,600,34822.47,3.52956584835,4.29,35.69,85.4,3,1,0.0,21,0.0,50.5366134663,50.5367534797,9.70956788797,9.7093397761
346451,2016,14414,1970,83409,6.789,3.16,K,KW,B2,1,B,Beton,Beton,DN,600,600,11648.57,1.31490902967,1.39,83.7,27.1,0,1,0.0,21,0.0,50.5367568807,50.5367604348,9.70932770546,9.7092462234
346476,2016,14415,1970,83411,58.638,2.05,K,KW,B2,1,B,Beton,Beton,DN,400,400,56711.74,3.390278347,3.93,38.29,77.92,2,2,0.0,21,0.0,50.5374961934,50.5378898384,9.70832514588,9.70779613824
346501,2016,14416,1968,83413,50.07,2.48,K,KW,B2,1,B,Beton,Beton,DN,400,400,48425.2,3.30307853776,4.54,40.91,90.2,2,2,0.0,19,0.0,50.5378967293,50.5382327938,9.70778692765,9.70733830564
346526,2016,14417,1974,83415,14.575,3.72,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,700,700,26801.24,0.982748473624,0.88,90.17,17.07,0,1,0.0,25,0.0,50.5368647868,50.5367644096,9.70935217015,9.70924331963
346551,2016,14418,1976,83417,30.108,3.57,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,700,700,55364.1,3.884208431,5.06,23.47,100.0,4,1,0.0,27,0.0,50.5371442208,50.5369420322,9.70967218987,9.70944196242
346576,2016,14419,1974,83419,31.697,3.1,K,KW,B4,1,B,Beton,Beton,DN,500,500,49355.4,3.53582081277,4.53,33.93,89.86,3,1,0.0,25,0.0,50.5371586213,50.5369477537,9.70966887809,9.70942692082
346601,2016,14420,1974,83422,48.464,2.78,K,KW,BG,1,SPB,Stahlbeton,Beton,DN,300,300,39124.99,2.57588637113,4.27,58.48,85.01,2,2,0.0,25,0.0,50.5369201659,50.5371455086,9.71025097936,9.70968222834
346626,2016,14421,1974,83424,7.513,2.02,K,KW,BG,1,SPB,Stahlbeton,Beton,DN,300,300,6065.24,2.16091169405,4.27,66.78,85.01,1,1,0.0,25,0.0,50.5369233052,50.5369181984,9.71035554962,9.71026391819
346651,2016,14422,1976,83426,37.383,3.49,K,KW,B4,2,SB,Stahlbeton,Stahlbeton,DN,700,700,68741.73,3.39053320026,5.06,38.28,100.0,3,1,0.0,27,0.0,50.5374224421,50.5371515465,9.70996821968,9.70968020222
346676,2016,14423,1974,83428,42.051,2.74,K,KW,B4,1,B,Beton,Beton,DN,500,500,55273.94,4.22338025767,5.06,15.53,100.0,4,1,0.0,25,0.0,50.5374784386,50.5371660378,9.70998528858,9.70967675069
346701,2016,14424,1973,83430,11.584,3.04,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,700,700,21301.24,1.29772741361,1.33,84.05,26.3,1,1,0.0,24,0.0,50.5374393696,50.5374267822,9.71012717229,9.70997915073
346726,2016,14425,1970,83432,49.209,3.56,K,KW,B5,1,B,Beton,Beton,DN,600,600,84432.8,2.98793621992,4.29,50.24,85.4,3,1,0.0,21,0.0,50.5354843115,50.5357067889,9.71232586966,9.71174201785
346751,2016,14426,1970,83434,43.277,3.31,K,KW,B2,1,B,Beton,Beton,DN,600,600,74254.68,2.70158489162,5.06,55.97,100.0,2,2,0.0,21,0.0,50.5357115382,50.5359195575,9.71173010906,9.71123065852
346776,2016,14427,1970,83436,45.341,2.84,K,KW,B2,1,B,Beton,Beton,DN,600,600,67315.52,3.45814104202,4.29,37.78,85.4,3,1,0.0,21,0.0,50.5361709356,50.5363867572,9.71062295927,9.71009681897
346801,2016,14428,1980,83438,50.345,3.1,K,KW,B2,2,B,Beton,Beton,DN,600,600,86381.95,2.68577022913,4.21,56.28,83.89,2,2,0.0,31,0.0,50.5359244867,50.5361660073,9.71121873821,9.7106347386
346826,2016,14429,1968,83440,46.004,2.7,K,KW,B5,1,B,Beton,Beton,DN,300,300,37139.03,3.64485856183,5.06,30.65,100.0,3,1,0.0,19,0.0,50.5350958016,50.5348062581,9.71271778936,9.71227432756
346851,2016,14430,1980,83442,28.363,3.29,K,KW,B2,1,B,Beton,Beton,DN,400,400,32095.57,2.49774287664,5.06,60.05,100.0,2,2,0.0,31,0.0,50.5353731534,50.535480099,9.71268599993,9.71233822387
